#Format: name[tab]putative accepted name[tab]note

#The following are ILLEG. names with the eFlora accepted names
#Names extracted from the Notes field of the eFlora, many false positives, are culled from this output by make_synonymy_table.pl
#ILLEG homonyms are commented out
Xanthocyparis nootkatensis	Callitropsis nootkatensis	SUPERFLUOUS in EFLORA


#NIEF, mostly, some NOT in CA, NOT IN TAX_SYNS already
#manually updated
#Grindelia camporum var. parviflora	Grindelia hirsutula
#Grindelia robusta	Grindelia hirsutula
Acetosa hastatula	Rumex hastatulus	NOT in CA
Actinea acaulis var. acaulis	Tetraneuris acaulis var. acaulis	NOT in CA?; NAME NOT in ICPN or EFLORA
Agoseris glauca var. dasycephala	Agoseris glauca var. dasycephala	
Allium neapolitanum	Nothoscordum inodorum	
Anagallis arvensis subsp. foemina	Lysimachia foemina	
Anagallis foemina	Lysimachia foemina	
Andropogon saccharoides	Bothriochloa saccharoides	NOT in CA?
Aster hendersonii	Symphyotrichum hendersonii	
Carex parryana var. hallii	Carex parryana var. unica	
Cupressus arizonica	Hesperocyparis arizonica	
Cupressus arizonica subsp. arizonica	Hesperocyparis arizonica	
Dichanthium saccharoides	Bothriochloa saccharoides	NOT in CA?
Festuca nervosa	Poa nervosa	Festuca nervosa NOT in ICPN or EFLORA; NOT in CA; in EFLORA as Poa nervosa, misapplied in note under Poa wheeleri
Gnaphalium jaliscense	Pseudognaphalium jaliscense	NOT in CA?; NAME NOT in ICPN or EFLORA; specimens reported for CA by Nesom Sida 19(4):1187 2001.
Hastingsia bracteosa	Hastingsia bracteosa	NOT in CA?; NAME NOT in ICPN or EFLORA
Horkelia fusca var. capitata	Horkelia fusca subsp. capitata	
Hymenoxys acaulis var. acaulis	Tetraneuris acaulis var. acaulis	NOT in CA?; NAME NOT in ICPN or EFLORA
Linanthastrum melingii	Leptosiphon melingii	NOT in CA; NAME NOT in ICPN or EFLORA; in EFLORA as note under Leptosiphon floribundus
Linanthus melingii	Leptosiphon melingii	NOT in CA?; NAME NOT in ICPN or EFLORA
Linaria canadensis	Nuttallanthus canadensis	
Linaria canadensis var. canadensis	Nuttallanthus canadensis	
Lophochloa cristata	Koeleria cristata	
Lotus subpinnatus var. subpinnatus	Acmispon subpinnatus	NOT in CA, in EFLORA as Lotus subpinnatus, misapplied 
Lotus subpinnatus var. subpinnatus	Acmispon subpinnatus	NOT in CA, in EFLORA/ICPN as Lotus subpinnatus, misapplied 
Ludwigia peruviana	Ludwigia peruviana	NOT in CA?
Lysimachia foemina	Lysimachia foemina	
Mimulus parviflorus	Erythranthe parviflora	
Muhlenbergia alopecuroides	Lycurus setosus	
Nasturtium microphyllum	Nasturtium microphyllum	NOT in CA?; NAME NOT in ICPN or EFLORA
Nuttallanthus canadensis	Nuttallanthus canadensis	
Oenothera hirta	Ludwigia peruviana	NOT in CA?
Oenothera hirta var. hirta	Ludwigia peruviana	NOT in CA?
Opuntia littoralis var. martiniana	Opuntia martiniana	AZ taxon NOT in CA?; NAME NOT in ICPN or EFLORA
Opuntia martiniana	Opuntia martiniana	AZ taxon NOT in CA?; NAME NOT in ICPN or EFLORA
Orobanche uniflora	Aphyllon uniflorum	
Pediomelum mephiticum	Pediomelum mephiticum	NAME NOT in ICPN;  NOT in CA in EFLORA as note under Pediomelum
Penstemon davidsonii	Penstemon davidsonii	NOT in CA?; NAME NOT in ICPN, in EFLORA as note under P. rupicola only as a hybrid reference, but does not mention that hybrids occur in CA
Penstemon menziesii var. davidsonii	Penstemon davidsonii	Penstemon menziesii var. davidsonii NOT in ICPN or EFLORA; NOT in CA?; in EFLORA as P. davidsonii in note under P. rupicola only as a hybrid reference
Poa nervosa	Poa nervosa	Poa nervosa NOT in ICPN; NOT in CA, misapplied in note under Poa wheeleri
Pseudognaphalium jaliscense	Pseudognaphalium jaliscense	NOT in CA?; NAME NOT in ICPN or EFLORA; specimens reported for CA by Nesom Sida 19(4):1187 2001.
Psoralea mephitica	Pediomelum mephiticum	NAME NOT in ICPN or EFLORA; NOT in CA; synonym of Pediomelum mephiticum, in EFLORA as note under Pediomelum
Rorippa microphylla	Nasturtium microphyllum	NOT in CA?; NAME NOT in ICPN or EFLORA
Rostraria cristata	Koeleria cristata	
Rumex engelmannii	Rumex hastatulus	NOT in CA
Salix arctica subsp. petraea	Salix arctica	
Sarcocornia utahensis	Salicornia utahensis	
Schoenolirion bracteosum	Hastingsia bracteosa	NOT in CA?; NAME NOT in ICPN or EFLORA
Schoenoplectus supinus subsp. hallii	Schoenoplectus hallii	Schoenoplectus hallii is not known from CA and CA records are a misidentification of S. saximontanus according to FNA
Scirpus hallii	Schoenoplectus hallii	Schoenoplectus hallii is not known from CA and CA records are a misidentification of S. saximontanus according to FNA
Scirpus maritimus var. tuberosus	Scirpus tuberosus	
Scirpus supinus var. hallii	Schoenoplectus hallii	
Tetraneuris acaulis var. acaulis	Tetraneuris acaulis var. acaulis	NOT in CA?; NAME NOT in ICPN or EFLORA
Troximon glaucum var. dasycephalum	Agoseris glauca var. dasycephala	
Agoseris glauca var. dasycephala	Agoseris glauca var. dasycephala	NOT in CA; MISAPPLIED IN EFLORA
Zizania aquatica subsp. aquatica	Zizania aquatica	NOT in CA; NAME NOT in EFLORA; in ICPN as Zizania aquatica
Zizania aquatica var. aquatica	Zizania aquatica	NOT in CA; NAME NOT in EFLORA; in ICPN as Zizania aquatica
Viola purpurea var. quercetorum	Viola purpurea subsp. quercetorum	NIEF, probably not validly published by R.J. Little, no reference in TROPICOS




