
#old file list pre-2018 CCH1 alter names
#Sidalcea malviflora var. sparsifolia	Sidalcea malviflora subsp. sparsifolia	NO VAR COMB for sparsifolia; TROPICOS; ICPN indicates this var. is published, leave in but comment out now
Amblyopappus pusilis	Amblyopappus pusillus
Amblypopappus pusillus	Amblyopappus pusillus
Ambronia umbellata	Abronia umbellata
Ambrosia artemesiifolia	Ambrosia artemisiifolia
Ambrosia artemiisifolia	Ambrosia artemisiifolia
Ambrosia artemisifolia	Ambrosia artemisiifolia
Ambrosia chamissonis subsp. bipinnatisecta	Ambrosia chamissonis var. bipinnatisecta	NO SUBSP COMB FOR bipinnatisecta; TROPICOS
Ambrosia chenopodifolia	Ambrosia chenopodiifolia
Ambrosia dumosa var.	Ambrosia dumosa
Ambrosia magdalanae	Ambrosia magdalenae
Ambrosia psilostachya subsp. californica	Ambrosia psilostachya var. californica	NO SUBSP COMB for californica; TROPICOS
Ambrosia psilostachya var. californica (rydb.) blake	Ambrosia psilostachya var. californica
Ambrosia x platyspina	Ambrosia X platyspina
Amelanchier utahenis	Amelanchier utahensis
Ameria maritima subsp. californica	Armeria maritima subsp. californica
Ameria maritima var. californica	Armeria maritima var. californica
Aminckia intermedia	Amsinckia intermedia
Amorpha fructicosa	Amorpha fruticosa
Ampelodesmos mauritanica	Ampelodesmos mauritanicus
Amphipappus fremontii var. spinescens	Amphipappus fremontii var. spinosus
Ampipappus fremontii	Amphipappus fremontii
Amsincka intermedia	Amsinckia intermedia
Amsincka intermedia var. eastwoodae	Amsinckia intermedia var. eastwoodiae
Amsinckia douglaciana	Amsinckia douglasiana
Amsinckia eastwoodii	Amsinckia eastwoodiae
Amsinckia fucata	Amsinckia furcata
Amsinckia helleri nom inval.	Amsinckia helleri
Amsinckia intemedia	Amsinckia intermedia
Amsinckia intermedia subsp. eastwoodae	Amsinckia intermedia var. eastwoodiae	NO SUBSP COMB for eastwoodiae; TROPICOS
Amsinckia intermedia subsp. eastwoodiae	Amsinckia intermedia var. eastwoodiae	NO SUBSP COMB for eastwoodiae; TROPICOS
Amsinckia intermedia var.	Amsinckia intermedia
Amsinckia menseizii	Amsinckia menziesii
Amsinckia menzesii subsp. intermedia	Amsinckia menziesii var. intermedia	NO SUBSP COMB FOR intermedia; TROPICOS
Amsinckia meziesii var. meziesii	Amsinckia menziesii var. menziesii
Amsinckia santa-barbarae	Amsinckia santae-barbarae
Amsinckia setosissma	Amsinckia setosissima
Amsinckia spectabilis var. microcarpha	Amsinckia spectabilis var. microcarpa
Amsinckia spectabilis var. spectablis	Amsinckia spectabilis var. spectabilis
Amsinckia spectabilis var.spectabilis	Amsinckia spectabilis var. spectabilis
Amsinckia st.-nicolai	Amsinckia sancti-nicolai
Amsinckia st.-nicolai Eastwood	Amsinckia sancti-nicolai
Amsinckia st.nicolai	Amsinckia sancti-nicolai
Amsinckia tellellata var. tessellata	Amsinckia tessellata var. tessellata
Amsinckia tesellata	Amsinckia tessellata
Amsinckia tessalata	Amsinckia tessellata
Amsinckia tessallata	Amsinckia tessellata
Amsinckia tesselata	Amsinckia tessellata
Amsinckia tesselata var. gloriosa	Amsinckia tessellata var. gloriosa
Amsinckia tesselata var. macrosepala	Amsinckia tessellata var. macrosepala
Amsinckia tesselata var. tesselata	Amsinckia tessellata var. tessellata
Amsinkia tessellata	Amsinckia tessellata
Amsonia brevifolia var. brevifolia	Amsonia brevifolia
Anagalis arvensis	Anagallis arvensis
Anagallis minimus	Anagallis minima
Anaphalis unidentified	Anaphalis
Andropogan glomeratus var. scabrigglumis	Andropogon glomeratus var. scabriglumis
Andropogan glomeratus var. scabriglumis	Andropogon glomeratus var. scabriglumis
Andropogon virginicus var. virgincus	Andropogon virginicus var. virginicus
Aneilema heterophylla	Aneilema heterophyllum
Anemone drumondii	Anemone drummondii
Anemone grayii	Anemone grayi
Anemopsis californicum	Anemopsis californica
Anemotheca laxa	Anomatheca laxa
Angelica brewei	Angelica breweri
Angelica lineariliba	Angelica lineariloba
Anisocarpus scabrida	Anisocarpus scabridus
Anisocasrpus scabridus	Anisocarpus scabridus
Anitrrhinum vexillocalyculatum	Antirrhinum vexillocalyculatum
Annemopsis californica	Anemopsis californica
Antenaria rosea	Antennaria rosea
Antennaria argenteacea	Antennaria argentea
Antennaria luzuloides subsp. abrerrans	Antennaria luzuloides subsp. aberrans
Antennaria umbinella	Antennaria umbrinella
Antheridium pomeridianum	Anthericum pomeridianum
Anthoxanthum occidentalis	Anthoxanthum occidentale
Anthoxanthum ordoratum	Anthoxanthum odoratum
Anthozanthum occidentale	Anthoxanthum occidentale
Anthriscus caucaulis	Anthriscus caucalis
Anthysanus pusillus	Athysanus pusillus
Antirrhinum coulterianum forma orcuttianum	Antirrhinum coulterianum f. orcuttianum
Antirrhinum nattallianum	Antirrhinum nuttallianum
Antirrhinum nuttalianum	Antirrhinum nuttallianum
Antirrhinum nuttallianum forma pusillum	Antirrhinum nuttallianum f. pusillum
Antirrhinum ovata	Antirrhinum ovatum
Antirrhinum vexillocalyculatum subsp. vexillo-calyculatum	Antirrhinum vexillocalyculatum subsp. vexillocalyculatum
Antirrinum nuttallianum	Antirrhinum nuttallianum
Aphyllum cooperi	Aphyllon cooperi
api	Apiaceae
Apiastrum augustifolium	Apiastrum angustifolium
Aplopappus pinefolius	Haplopappus pinifolius
Apocynum cannabinum var. glabberimum	Apocynum cannabinum var. glaberrimum
Apocynum cannabinum var. glabberrimum	Apocynum cannabinum var. glaberrimum
Apocynum cannabium	Apocynum cannabinum
Apocynum cannibinum	Apocynum cannabinum
Apocynum indet.	Apocynum
Aponogeton distachyus	Aponogeton distachyos
Aquilagia truncata	Aquilegia truncata
Aquilega formosa	Aquilegia formosa
Aquilegia exemia	Aquilegia eximia
Aquilegia fomosa	Aquilegia formosa
Arabis cf. perennans	Arabis perennans
Arabis dipar	Arabis dispar
Arabis eschscholziana	Arabis eschscholtziana
Arabis hirschbergiae	Arabis hirshbergiae
Arabis holbellii var. pinetorum	Arabis holboellii var. pinetorum
Arabis holboelii var. retrofracta	Arabis holboellii var. retrofracta
Arabis holboelli var. pendulocarpa	Arabis holboellii var. pendulocarpa
Arabis holboelli var. retrofracta	Arabis holboellii var. retrofracta
Arabis holoboellii var. pinetorum	Arabis holboellii var. pinetorum
Arabis lemmonii var. depaulerata	Arabis lemmonii var. depauperata
Arabis lyalii	Arabis lyallii
Arabis lyallii var. nurigena	Arabis lyallii var. nubigena
